reascd,description
1,Location
2,OCR - 1
3,OCR - 2
4,OCR - 5
5,Physical
6,Beach adj.
7,Depth adj.
8,Easements
9,External ob.
10,Externalities
11,Flooded land
12,Length adj.
13,Non-buildable
14,Other
15,Restricted use
16,Road
17,Seasonally flooded
18,Shape adj.
19,Size adj.
20,Slope adj.
21,Topography
22,Util - well/septic
23,View
30,SAP-15
31,SAP-35
32,SAP/LAC
33,Air rights parcel
34,Partial exemption
35,Split class parcel
36,Limited access parcel
37,Lakefront parcel
38,Lake Michigan lakefront parcel
39,New Construction - partial year
40,FAR allowance adjustment
41,Demolition - partial year
42,Appeal Reduction - One Year Only
43,BOR Land Adjustment
44,Open Space
45,Veterans organization assessment freeze
46,Open Space Rollback (35 ILCS 200/10-165)
