year,class_code,loa
2000,0,0
2000,100,0.22
2000,190,0.22
2000,200,0.16
2000,201,0.16
2000,202,0.16
2000,203,0.16
2000,204,0.16
2000,205,0.16
2000,206,0.16
2000,207,0.16
2000,208,0.16
2000,209,0.16
2000,210,0.6
2000,211,0.16
2000,212,0.16
2000,213,0.16
2000,224,0.16
2000,225,0.16
2000,234,0.16
2000,236,0.16
2000,239,0.16
2000,240,0.16
2000,241,0.16
2000,278,0.16
2000,288,0.16
2000,290,0.16
2000,294,0.16
2000,295,0.16
2000,297,0.16
2000,299,0.16
2000,300,0.33
2000,301,0.33
2000,313,0.33
2000,314,0.33
2000,315,0.33
2000,318,0.33
2000,319,0.33
2000,320,0.33
2000,321,0.33
2000,390,0.33
2000,391,0.33
2000,396,0.33
2000,397,0.33
2000,399,0.33
2000,400,0.3
2000,401,0.3
2000,413,0
2000,414,0
2000,415,0.3
2000,416,0
2000,417,0.3
2000,418,0
2000,419,0.3
2000,420,0.3
2000,421,0.3
2000,422,0.3
2000,423,0
2000,426,0
2000,427,0.3
2000,428,0.3
2000,429,0
2000,430,0
2000,431,0
2000,432,0
2000,433,0
2000,435,0.3
2000,480,0.3
2000,483,0
2000,487,0
2000,489,0
2000,490,0.3
2000,491,0.3
2000,492,0.3
2000,493,0.3
2000,496,0
2000,497,0.3
2000,499,0.3
2000,500,0.38
2000,501,0.38
2000,516,0.38
2000,517,0.38
2000,522,0.38
2000,523,0.38
2000,526,0.38
2000,527,0.38
2000,528,0.38
2000,529,0.38
2000,530,0.38
2000,531,0.38
2000,532,0.38
2000,533,0.38
2000,535,0.38
2000,550,0.36
2000,580,0.36
2000,581,0.36
2000,583,0.36
2000,587,0.36
2000,589,0.36
2000,590,0.38
2000,591,0.38
2000,592,0.38
2000,593,0.36
2000,597,0.38
2000,599,0.38
2000,637,0
2000,638,0
2000,650,0.3
2000,651,0.16
2000,654,0
2000,655,0
2000,663,0.16
2000,666,0
2000,668,0
2000,669,0
2000,670,0.16
2000,671,0.16
2000,673,0.16
2000,677,0.16
2000,679,0.16
2000,680,0.3
2000,681,0
2000,683,0
2000,687,0
2000,689,0.3
2000,693,0.3
2000,700,0.16
2000,701,0
2000,716,0
2000,717,0.3
2000,722,0
2000,723,0
2000,726,0
2000,727,0
2000,728,0
2000,729,0
2000,730,0.16
2000,731,0.16
2000,732,0
2000,733,0
2000,735,0
2000,742,0
2000,743,0
2000,745,0
2000,746,0
2000,747,0
2000,748,0
2000,752,0
2000,753,0
2000,756,0
2000,757,0
2000,758,0
2000,760,0
2000,761,0
2000,762,0
2000,764,0
2000,765,0
2000,767,0
2000,772,0
2000,774,0
2000,790,0.3
2000,791,0.16
2000,792,0
2000,797,0
2000,798,0
2000,799,0
2000,801,0
2000,816,0
2000,817,0.16
2000,822,0.16
2000,823,0.16
2000,826,0
2000,827,0
2000,828,0
2000,829,0
2000,830,0.16
2000,831,0
2000,832,0
2000,833,0
2000,835,0
2000,850,0.16
2000,880,0.16
2000,881,0
2000,883,0
2000,887,0.16
2000,889,0
2000,890,0.16
2000,891,0
2000,892,0
2000,893,0.16
2000,897,0.16
2000,899,0
2000,900,0.16
2000,901,0.16
2000,913,0.16
2000,914,0.16
2000,915,0.16
2000,918,0
2000,919,0.16
2000,920,0.16
2000,921,0.16
2000,959,0
2000,990,0.16
2000,991,0.16
2000,996,0.16
2000,997,0.16
2001,0,0
2001,100,0.22
2001,190,0.22
2001,200,0.16
2001,201,0.16
2001,202,0.16
2001,203,0.16
2001,204,0.16
2001,205,0.16
2001,206,0.16
2001,207,0.16
2001,208,0.16
2001,209,0.16
2001,210,0.16
2001,211,0.16
2001,212,0.16
2001,213,0.16
2001,224,0.16
2001,225,0.16
2001,234,0.16
2001,236,0.16
2001,239,0.16
2001,240,0.16
2001,241,0.16
2001,278,0.16
2001,288,0.16
2001,290,0.16
2001,294,0.16
2001,295,0.16
2001,297,0.16
2001,299,0.16
2001,300,0.33
2001,301,0.33
2001,313,0.33
2001,314,0.33
2001,315,0.33
2001,318,0.33
2001,319,0.33
2001,320,0.33
2001,321,0.33
2001,390,0.33
2001,391,0.33
2001,396,0.33
2001,397,0.33
2001,399,0.33
2001,400,0.3
2001,401,0.3
2001,413,0
2001,414,0
2001,415,0.3
2001,416,0
2001,417,0.3
2001,418,0
2001,419,0.3
2001,420,0.3
2001,421,0.3
2001,422,0.3
2001,423,0
2001,426,0
2001,427,0.3
2001,428,0.3
2001,429,0
2001,430,0
2001,431,0
2001,432,0
2001,433,0
2001,435,0.3
2001,480,0.3
2001,483,0
2001,487,0
2001,489,0
2001,490,0.3
2001,491,0.3
2001,492,0.3
2001,493,0.3
2001,496,0
2001,497,0.3
2001,499,0.3
2001,500,0.38
2001,501,0.38
2001,516,0.38
2001,517,0.38
2001,522,0.38
2001,523,0.38
2001,526,0.38
2001,527,0.38
2001,528,0.38
2001,529,0.38
2001,530,0.38
2001,531,0.38
2001,532,0.38
2001,533,0.38
2001,535,0.38
2001,550,0.36
2001,580,0.36
2001,581,0.36
2001,583,0.36
2001,587,0.36
2001,589,0.36
2001,590,0.38
2001,591,0.38
2001,592,0.38
2001,593,0.36
2001,597,0.38
2001,599,0.38
2001,637,0
2001,638,0
2001,650,0.3
2001,651,0.16
2001,654,0
2001,655,0
2001,663,0.16
2001,666,0
2001,668,0
2001,669,0
2001,670,0.16
2001,671,0.16
2001,673,0.16
2001,677,0.16
2001,679,0.16
2001,680,0.3
2001,681,0
2001,683,0
2001,687,0
2001,689,0.3
2001,693,0.3
2001,700,0.16
2001,701,0
2001,716,0
2001,717,0.3
2001,722,0
2001,723,0
2001,726,0
2001,727,0
2001,728,0
2001,729,0
2001,730,0.16
2001,731,0.16
2001,732,0
2001,733,0
2001,735,0
2001,742,0
2001,743,0
2001,745,0
2001,746,0
2001,747,0
2001,748,0
2001,752,0
2001,753,0
2001,756,0
2001,757,0
2001,758,0
2001,760,0
2001,761,0
2001,762,0
2001,764,0
2001,765,0
2001,767,0
2001,772,0
2001,774,0
2001,790,0.3
2001,791,0.16
2001,792,0
2001,797,0
2001,798,0
2001,799,0
2001,801,0
2001,816,0
2001,817,0.16
2001,822,0.16
2001,823,0.16
2001,826,0
2001,827,0
2001,828,0
2001,829,0
2001,830,0.16
2001,831,0
2001,832,0
2001,833,0
2001,835,0
2001,850,0.16
2001,880,0.16
2001,881,0
2001,883,0
2001,887,0.16
2001,889,0
2001,890,0.16
2001,891,0
2001,892,0
2001,893,0.16
2001,897,0.16
2001,899,0
2001,900,0.16
2001,901,0.16
2001,913,0.16
2001,914,0.16
2001,915,0.16
2001,918,0
2001,919,0.16
2001,920,0.16
2001,921,0.16
2001,959,0
2001,990,0.16
2001,991,0.16
2001,996,0.16
2001,997,0.16
2002,0,0
2002,100,0.22
2002,190,0.22
2002,200,0.16
2002,201,0.16
2002,202,0.16
2002,203,0.16
2002,204,0.16
2002,205,0.16
2002,206,0.16
2002,207,0.16
2002,208,0.16
2002,209,0.16
2002,210,0.16
2002,211,0.16
2002,212,0.16
2002,213,0.16
2002,224,0.16
2002,225,0.16
2002,234,0.16
2002,236,0.16
2002,239,0.16
2002,240,0.16
2002,241,0.16
2002,278,0.16
2002,288,0.16
2002,290,0.16
2002,294,0.16
2002,295,0.16
2002,297,0.16
2002,299,0.16
2002,300,0.33
2002,301,0.33
2002,313,0.33
2002,314,0.33
2002,315,0.33
2002,318,0.33
2002,319,0.33
2002,320,0.33
2002,321,0.33
2002,390,0.33
2002,391,0.33
2002,396,0.33
2002,397,0.33
2002,399,0.33
2002,400,0.3
2002,401,0.3
2002,413,0
2002,414,0
2002,415,0.3
2002,416,0
2002,417,0.3
2002,418,0
2002,419,0.3
2002,420,0.3
2002,421,0.3
2002,422,0.3
2002,423,0
2002,426,0
2002,427,0.3
2002,428,0.3
2002,429,0
2002,430,0.3
2002,431,0.3
2002,432,0
2002,433,0.3
2002,435,0.3
2002,480,0.3
2002,483,0
2002,487,0
2002,489,0
2002,490,0.3
2002,491,0.3
2002,492,0.3
2002,493,0.3
2002,496,0
2002,497,0.3
2002,499,0.3
2002,500,0.38
2002,501,0.38
2002,516,0.38
2002,517,0.38
2002,522,0.38
2002,523,0.38
2002,526,0.38
2002,527,0.38
2002,528,0.38
2002,529,0.38
2002,530,0.38
2002,531,0.38
2002,532,0.38
2002,533,0.38
2002,535,0.38
2002,550,0.36
2002,580,0.36
2002,581,0.36
2002,583,0.36
2002,587,0.36
2002,589,0.36
2002,590,0.38
2002,591,0.38
2002,592,0.38
2002,593,0.36
2002,597,0.38
2002,599,0.38
2002,637,0
2002,638,0
2002,650,0.3
2002,651,0.16
2002,654,0
2002,655,0
2002,663,0.16
2002,666,0
2002,668,0
2002,669,0
2002,670,0.16
2002,671,0.16
2002,673,0.16
2002,677,0.16
2002,679,0.16
2002,680,0.3
2002,681,0
2002,683,0
2002,687,0
2002,689,0.3
2002,693,0.3
2002,700,0.16
2002,701,0
2002,716,0
2002,717,0.3
2002,722,0.16
2002,723,0
2002,726,0
2002,727,0.16
2002,728,0
2002,729,0
2002,730,0.16
2002,731,0.16
2002,732,0
2002,733,0
2002,735,0
2002,742,0
2002,743,0
2002,745,0
2002,746,0
2002,747,0
2002,748,0
2002,752,0
2002,753,0
2002,756,0
2002,757,0
2002,758,0
2002,760,0
2002,761,0
2002,762,0
2002,764,0
2002,765,0
2002,767,0
2002,772,0
2002,774,0.38
2002,790,0.3
2002,791,0.16
2002,792,0
