major_class_code,major_class_type,assessment_level,regression_class,modeling_group,reporting_group,class_code,class_desc,min_age,max_age,min_size,max_size
0,Exempt and Railroad,0%,FALSE,,,,Exempt property,,,,
0,Exempt and Railroad,0%,FALSE,,,,Railroad property,,,,
1,Vacant,10%,FALSE,,,100,Vacant land,,,,
1,Vacant,10%,FALSE,,,190,Minor improvement on vacant land,,,,
2,Residential,10%,FALSE,,,200,Residential land,0,Inf,0,Inf
2,Residential,10%,FALSE,,,201,Residential garage,0,Inf,0,Inf
2,Residential,10%,TRUE,SF,Single-Family,202,"One story residence, any age, up to 999 sq. ft.",0,Inf,0,999
2,Residential,10%,TRUE,SF,Single-Family,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",0,Inf,1000,1800
2,Residential,10%,TRUE,SF,Single-Family,204,"One story residence, any age, 1,801 sq. ft. and over",0,Inf,1801,Inf
2,Residential,10%,TRUE,SF,Single-Family,205,"Two or more story residence, over 62 years, up to 2,200 sq. ft",63,Inf,0,2200
2,Residential,10%,TRUE,SF,Single-Family,206,"Two or more story residence, over 62 years, 2,201 to 4,999 sq. ft.",63,Inf,2201,4999
2,Residential,10%,TRUE,SF,Single-Family,207,"Two or more story residence, up to 62 years, up to 2,000 sq. ft.",0,62,0,2000
2,Residential,10%,TRUE,SF,Single-Family,208,"Two or more story residence, up to 62 years, 3,801 to 4,999 sq. ft.",0,62,3801,4999
2,Residential,10%,TRUE,SF,Single-Family,209,"Two or more story residence, any age, 5,000 sq. ft. and over",0,Inf,5000,Inf
2,Residential,10%,TRUE,SF,Single-Family,210,"Old style townhouse, over 62 years",63,Inf,0,Inf
2,Residential,10%,TRUE,MF,Multi-Family,211,"Two to six residential apartments, any age",0,Inf,0,Inf
2,Residential,10%,TRUE,MF,Multi-Family,212,"Two to six mixed-use apartments, any age, up to 20,000 sq. ft.",0,Inf,0,20000
2,Residential,10%,FALSE,,,213,Cooperative,0,Inf,0,Inf
2,Residential,10%,TRUE,BB,Bed & Breakfast,218,A residential building licensed as a Bed & Breakfast by the municipality,0,Inf,0,Inf
2,Residential,10%,TRUE,BB,Bed & Breakfast,219,A residential building licensed as a Bed & Breakfast by the municipality,0,Inf,0,Inf
2,Residential,10%,FALSE,,,224,Farm building,0,Inf,0,Inf
2,Residential,10%,FALSE,,,225,Single-room occupancy rental building,0,Inf,0,Inf
2,Residential,10%,TRUE,SF,Single-Family,234,"Spllit level residence, with a lower level below grade, all ages, all sizes",0,Inf,0,Inf
2,Residential,10%,FALSE,,,236,Any residence located on a parcel used primarily for commercial or industrial purposes,0,Inf,0,Inf
2,Residential,10%,FALSE,,,239,"Non-equalized land under agricultural use, valued at farm pricing",0,Inf,0,Inf
2,Residential,10%,FALSE,,,240,First-time agricultural use of land valued at market price,0,Inf,0,Inf
2,Residential,10%,FALSE,,,241,Vacant land under common ownership with adjacent residence,0,Inf,0,Inf
2,Residential,10%,TRUE,SF,Single-Family,278,"Two or more story residence, up to 62 years, 2,001 to 3,800 sq. ft.",0,62,2001,3800
2,Residential,10%,FALSE,,,288,Home improvement,0,Inf,0,Inf
2,Residential,10%,FALSE,,,290,Minor improvement,0,Inf,0,Inf
2,Residential,10%,TRUE,SF,Single-Family,295,"Individually owned row houses or townhouses, up to 62 years",0,62,0,Inf
2,Residential,10%,FALSE,,,297,Special residential improvements (May apply to condo building in first year of construction before division into individual units.),0,Inf,0,Inf
2,Residential,10%,TRUE,CONDO,Condominium,299,Condominium,0,Inf,0,Inf
3,Multi-Family,10%,FALSE,,,300,Land used in conjunction with rental apartments,,,,
3,Multi-Family,10%,FALSE,,,301,Garage used in conjunction with rental apartments,,,,
3,Multi-Family,10%,FALSE,,,313,"Two-or-three-story, building, seven or more units",,,,
3,Multi-Family,10%,FALSE,,,314,"Two-or-three-story, non-fireproof building with corridor apartment or California type apartments, no corridors exterior entrance",,,,
3,Multi-Family,10%,FALSE,,,315,"Two-or-three-story, non-fireproof corridor apartments or California type apartments, interior entrance",,,,
3,Multi-Family,10%,FALSE,,,318,"Mixed-use commercial/residential building with apartments and commercial area totaling seven units or more with a square-foot area of over 20,000 square feet",,,,
3,Multi-Family,10%,FALSE,,,390,Other minor improvement related to rental use,,,,
3,Multi-Family,10%,FALSE,,,391,"Apartment building over three stories, seven or more units",,,,
3,Multi-Family,10%,FALSE,,,396,"Rented modern row houses, seven or more units in a single development or one or more contiguous parcels in common ownership",,,,
3,Multi-Family,10%,FALSE,,,397,Special rental structure,,,,
3,Multi-Family,10%,TRUE,CONDO,Condominium,399,Rental condominium,,,,
4,Not For Profit,20%,FALSE,,,400,Not-for-profit land,,,,
4,Not For Profit,20%,FALSE,,,401,Not-for-profit garage,,,,
4,Not For Profit,20%,FALSE,,,417,Not-for-profit one story commercial building,,,,
4,Not For Profit,20%,FALSE,,,418,Not-for-profit two-or-three story mixed use commercial/residential building,,,,
4,Not For Profit,20%,FALSE,,,422,Not-for-profit one-story non-fireproof public garage,,,,
4,Not For Profit,20%,FALSE,,,423,Not-for-profit gasoline station,,,,
4,Not For Profit,20%,FALSE,,,426,Not-for-profit commercial greenhouse,,,,
4,Not For Profit,20%,FALSE,,,427,Not-for-profit theatre,,,,
4,Not For Profit,20%,FALSE,,,428,Not-for-profit bank building,,,,
4,Not For Profit,20%,FALSE,,,429,Not-for-profit motel,,,,
4,Not For Profit,20%,FALSE,,,430,Not-for-profit supermarket,,,,
4,Not For Profit,20%,FALSE,,,431,Not-for-profit shopping center,,,,
4,Not For Profit,20%,FALSE,,,432,Not-for-profit bowling alley,,,,
4,Not For Profit,20%,FALSE,,,433,Not-for-profit quonset hut or butler type building,,,,
4,Not For Profit,20%,FALSE,,,435,Not-for-profit golf course improvement,,,,
4,Not For Profit,20%,FALSE,,,480,Not-for-profit industrial minor improvement,,,,
4,Not For Profit,20%,FALSE,,,481,Not-for-profit garage used in conjunction with industrial improvement,,,,
4,Not For Profit,20%,FALSE,,,483,Not-for-profit industrial quonset hut or butler type building,,,,
4,Not For Profit,20%,FALSE,,,487,Not-for-profit special industrial improvement,,,,
4,Not For Profit,20%,FALSE,,,489,Not-for-profit industrial condominium,,,,
4,Not For Profit,20%,FALSE,,,490,Not-for-profit commercial minor improvement,,,,
4,Not For Profit,20%,FALSE,,,491,Not-for-profit improvement over three stories,,,,
4,Not For Profit,20%,FALSE,,,492,Not-for-profit two-or-three story building containing part or all retail and/or commercial space,,,,
4,Not For Profit,20%,FALSE,,,493,Not-for-profit industrial building,,,,
4,Not For Profit,20%,FALSE,,,496,"Not-for-profit rented modern row houses, seven or more units in a single development",,,,
4,Not For Profit,20%,FALSE,,,497,Not-for-profit special structure,,,,
4,Not For Profit,20%,FALSE,,,499,Not-for-profit condominium,,,,
5A,Commercial,25%,FALSE,,,500,Commercial land,,,,
5A,Commercial,25%,FALSE,,,501,Golf course land,,,,
5A,Commercial,25%,FALSE,,,516,Non-fireproof hotel or rooming house (apartment hotel),,,,
5A,Commercial,25%,FALSE,,,517,One-story commercial building,,,,
5A,Commercial,25%,FALSE,,,522,"One-story, non-fireproof public garage",,,,
5A,Commercial,25%,FALSE,,,523,Gasoline station,,,,
5A,Commercial,25%,FALSE,,,526,Commercial greenhouse,,,,
5A,Commercial,25%,FALSE,,,527,Theatre,,,,
5A,Commercial,25%,FALSE,,,528,Bank building,,,,
5A,Commercial,25%,FALSE,,,529,Motel,,,,
5A,Commercial,25%,FALSE,,,530,Supermarket,,,,
5A,Commercial,25%,FALSE,,,531,Shopping center,,,,
5A,Commercial,25%,FALSE,,,532,Bowling alley,,,,
5A,Commercial,25%,FALSE,,,533,Quonset hut or butler type building,,,,
5A,Commercial,25%,FALSE,,,535,Golf course improvement,,,,
5A,Commercial,25%,FALSE,,,590,Commercial minor improvement,,,,
5A,Commercial,25%,FALSE,,,591,Commercial building over three stories,,,,
5A,Commercial,25%,FALSE,,,592,Two-or-three-story building containing part or all retail and/or commercial space,,,,
5A,Commercial,25%,FALSE,,,597,Special commercial structure,,,,
5A,Commercial,25%,FALSE,,,599,Commercial condominium unit,,,,
5B,Industrial,25%,FALSE,,,550,Industrial land,,,,
5B,Industrial,25%,FALSE,,,580,Industrial minor improvement,,,,
5B,Industrial,25%,FALSE,,,581,Garage used in conjunction with industrial improvement,,,,
5B,Industrial,25%,FALSE,,,583,Industrial quonset hut or butler type building,,,,
5B,Industrial,25%,FALSE,,,587,Special industrial improvement,,,,
5B,Industrial,25%,FALSE,,,589,Industrial condominium unit,,,,
5B,Industrial,25%,FALSE,,,593,Industrial building,,,,
6A,Industrial Incentive,,FALSE,,,650,Industrial land,,,,
6A,Industrial Incentive,,FALSE,,,680,Industrial minor improvement,,,,
6A,Industrial Incentive,,FALSE,,,681,Garage used in conjunction with industrial incentive improvement,,,,
6A,Industrial Incentive,,FALSE,,,683,Industrial quonset hut or butler type building,,,,
6A,Industrial Incentive,,FALSE,,,687,Special industrial improvement,,,,
6A,Industrial Incentive,,FALSE,,,689,Industrial condominium unit,,,,
6A,Industrial Incentive,,FALSE,,,693,Industrial building,,,,
6B,Industrial Incentive,,FALSE,,,651,Industrial land,,,,
6B,Industrial Incentive,,FALSE,,,663,Industrial building,,,,
6B,Industrial Incentive,,FALSE,,,670,Industrial minor improvement,,,,
6B,Industrial Incentive,,FALSE,,,671,Garage used in conjunction with industrial incentive improvement,,,,
6B,Industrial Incentive,,FALSE,,,673,Industrial quonset hut or butler type building,,,,
6B,Industrial Incentive,,FALSE,,,677,Special industrial improvement,,,,
6B,Industrial Incentive,,FALSE,,,679,Industrial condominium unit,,,,
6C,Industrial Brownfield,,FALSE,,,637,Industrial Brownfield land,,,,
6C,Industrial Brownfield,,FALSE,,,638,Industrial Brownfield,,,,
6C,Industrial Brownfield,,FALSE,,,654,Other industrial Brownfield minor improvements,,,,
6C,Industrial Brownfield,,FALSE,,,655,Garage used in conjunction with industrial Brownfield incentive improvement,,,,
6C,Industrial Brownfield,,FALSE,,,666,Industrial Brownfield quonset hut or butler type building,,,,
6C,Industrial Brownfield,,FALSE,,,668,Special industrial Brownfield improvement,,,,
6C,Industrial Brownfield,,FALSE,,,669,Industrial Brownfield condominium unit,,,,
7A,Commercial Incentive,,FALSE,,,700,Commercial incentive land,,,,
7A,Commercial Incentive,,FALSE,,,701,Garage used in conjunction with Commercial Incentive improvement,,,,
7A,Commercial Incentive,,FALSE,,,716,Non-Fireproof hotel or rooming house (Apartment hotel),,,,
7A,Commercial Incentive,,FALSE,,,717,One-story commercial use building,,,,
7A,Commercial Incentive,,FALSE,,,722,"Garage, service station",,,,
7A,Commercial Incentive,,FALSE,,,723,"Gasoline station, with /without bays, store",,,,
7A,Commercial Incentive,,FALSE,,,726,Commercial greenhouse,,,,
7A,Commercial Incentive,,FALSE,,,727,Theatre,,,,
7A,Commercial Incentive,,FALSE,,,728,Bank building,,,,
7A,Commercial Incentive,,FALSE,,,729,Motel,,,,
7A,Commercial Incentive,,FALSE,,,730,Supermarket,,,,
7A,Commercial Incentive,,FALSE,,,731,Shopping center,,,,
7A,Commercial Incentive,,FALSE,,,732,Bowling alley,,,,
7A,Commercial Incentive,,FALSE,,,733,Quonset hut or butler type building,,,,
7A,Commercial Incentive,,FALSE,,,735,Golf course improvement,,,,
7A,Commercial Incentive,,FALSE,,,790,Other minor commercial improvement,,,,
7A,Commercial Incentive,,FALSE,,,791,"Office building (One story, low, rise, mid rise, high rise)",,,,
7A,Commercial Incentive,,FALSE,,,792,Two-or-three-story building containing part or all retail and/or commercial space,,,,
7A,Commercial Incentive,,FALSE,,,797,Special commercial structure,,,,
7A,Commercial Incentive,,FALSE,,,799,Commercial/Industrial-Condominium unit/garage,,,,
7B,Commercial Incentive,,FALSE,,,742,Commercial incentive land,,,,
7B,Commercial Incentive,,FALSE,,,743,Garage used in conjunction with commercial incentive improvement,,,,
7B,Commercial Incentive,,FALSE,,,745,Golf course improvement,,,,
7B,Commercial Incentive,,FALSE,,,746,Non-Fireproof hotel or rooming house (Apartment hotel),,,,
7B,Commercial Incentive,,FALSE,,,747,One-story commercial building,,,,
7B,Commercial Incentive,,FALSE,,,748,Motel,,,,
7B,Commercial Incentive,,FALSE,,,752,"Garage, service station",,,,
7B,Commercial Incentive,,FALSE,,,753,"Gasoline station, with/without bays, store",,,,
7B,Commercial Incentive,,FALSE,,,756,Commercial greenhouse,,,,
7B,Commercial Incentive,,FALSE,,,757,Theatre,,,,
7B,Commercial Incentive,,FALSE,,,758,Bank building,,,,
7B,Commercial Incentive,,FALSE,,,760,Supermarket,,,,
7B,Commercial Incentive,,FALSE,,,761,"Shopping center (Regional, community, neighborhood, promotional, specialty)",,,,
7B,Commercial Incentive,,FALSE,,,762,Bowling alley,,,,
7B,Commercial Incentive,,FALSE,,,764,Quonset hut or butler type building,,,,
7B,Commercial Incentive,,FALSE,,,765,Other minor commercial improvements,,,,
7B,Commercial Incentive,,FALSE,,,767,Special commercial structure,,,,
7B,Commercial Incentive,,FALSE,,,772,"Two-or-three-story building, containing part or all retail and/or commercial space",,,,
7B,Commercial Incentive,,FALSE,,,774,Office building,,,,
7B,Commercial Incentive,,FALSE,,,798,Commercial/Industrial-condominium units/garage,,,,
8,Commercial/Industrial Incentive,,FALSE,,,800,Commercial incentive land,,,,
8,Commercial/Industrial Incentive,,FALSE,,,850,Industrial incentive land,,,,
8,Commercial/Industrial Incentive,,FALSE,,,801,Garage used in conjunction with commercial incentive improvement,,,,
8,Commercial/Industrial Incentive,,FALSE,,,816,Non-fireproof hotel or rooming house (apartment hotel),,,,
