nbhd,group_name,version,updated_at
70260,Hyde Park 1,1,2024-03-13
70020,Hyde Park 10,1,2024-03-13
70210,Hyde Park 2,1,2024-03-13
70220,Hyde Park 2,1,2024-03-13
70230,Hyde Park 2,1,2024-03-13
70250,Hyde Park 2,1,2024-03-13
70120,Hyde Park 3,1,2024-03-13
70170,Hyde Park 3,1,2024-03-13
70091,Hyde Park 3,1,2024-03-13
70111,Hyde Park 3,1,2024-03-13
70121,Hyde Park 3,1,2024-03-13
70101,Hyde Park 4,1,2024-03-13
70180,Hyde Park 4,1,2024-03-13
70240,Hyde Park 4,1,2024-03-13
70241,Hyde Park 4,1,2024-03-13
70280,Hyde Park 4,1,2024-03-13
70130,Hyde Park 5,1,2024-03-13
70100,Hyde Park 5,1,2024-03-13
70140,Hyde Park 5,1,2024-03-13
70151,Hyde Park 5,1,2024-03-13
70080,Hyde Park 6,1,2024-03-13
70083,Hyde Park 6,1,2024-03-13
70150,Hyde Park 6,1,2024-03-13
70300,Hyde Park 6,1,2024-03-13
70030,Hyde Park 8,1,2024-03-13
70070,Hyde Park 8,1,2024-03-13
71101,Jefferson 1,1,2024-03-13
71430,Jefferson 1,1,2024-03-13
71560,Jefferson 1,1,2024-03-13
71010,Jefferson 1,1,2024-03-13
71021,Jefferson 1,1,2024-03-13
71022,Jefferson 1,1,2024-03-13
71060,Jefferson 1,1,2024-03-13
71071,Jefferson 1,1,2024-03-13
71090,Jefferson 1,1,2024-03-13
71402,Jefferson 1,1,2024-03-13
71410,Jefferson 1,1,2024-03-13
71461,Jefferson 1,1,2024-03-13
71463,Jefferson 1,1,2024-03-13
71580,Jefferson 1,1,2024-03-13
71150,Jefferson 2,1,2024-03-13
71171,Jefferson 2,1,2024-03-13
71120,Jefferson 2,1,2024-03-13
71180,Jefferson 2,1,2024-03-13
71140,Jefferson 2,1,2024-03-13
71200,Jefferson 2,1,2024-03-13
71210,Jefferson 2,1,2024-03-13
71250,Jefferson 2,1,2024-03-13
71260,Jefferson 2,1,2024-03-13
71270,Jefferson 2,1,2024-03-13
71280,Jefferson 2,1,2024-03-13
71371,Jefferson 2,1,2024-03-13
71520,Jefferson 2,1,2024-03-13
71600,Jefferson 2,1,2024-03-13
71440,Jefferson 3,1,2024-03-13
71361,Jefferson 3,1,2024-03-13
71362,Jefferson 3,1,2024-03-13
71390,Jefferson 3,1,2024-03-13
71420,Jefferson 3,1,2024-03-13
71070,Jefferson 4,1,2024-03-13
71074,Jefferson 4,1,2024-03-13
71110,Jeff View 1,1,2024-03-13
71082,Jefferson 6,1,2024-03-13
71081,Jefferson 6,1,2024-03-13
71030,Jefferson 7,1,2024-03-13
71050,Jefferson 7,1,2024-03-13
71041,Jefferson 7,1,2024-03-13
71042,Jefferson 7,1,2024-03-13
72052,Lake 1,1,2024-03-13
72293,Lake 1,1,2024-03-13
72274,Lake 10,1,2024-03-13
72300,Lake 10,1,2024-03-13
72312,Lake 10,1,2024-03-13
72323,Lake 10,1,2024-03-13
72350,Lake 11,1,2024-03-13
72380,Lake 11,1,2024-03-13
72271,Lake 12,1,2024-03-13
72310,Lake 13,1,2024-03-13
72321,Lake 13,1,2024-03-13
72330,Lake 13,1,2024-03-13
72345,Lake 13,1,2024-03-13
72080,Lake 2,1,2024-03-13
72051,Lake 2,1,2024-03-13
72120,Lake 2,1,2024-03-13
72061,Lake 3,1,2024-03-13
72030,Lake 3,1,2024-03-13
72361,Lake 3,1,2024-03-13
72040,Lake 3,1,2024-03-13
72070,Lake 4,1,2024-03-13
72071,Lake 4,1,2024-03-13
72110,Lake 4,1,2024-03-13
72150,Lake 4,1,2024-03-13
72151,Lake 5,1,2024-03-13
72191,Lake 5,1,2024-03-13
72200,Lake 5,1,2024-03-13
72230,Lake 5,1,2024-03-13
72192,Lake 6,1,2024-03-13
72193,Lake 6,1,2024-03-13
72194,Lake 6,1,2024-03-13
