display_name,code,description
Statistical model,model,The Assessor's statistical model is a computer program that uses vast amounts of data about past home sales to estimate current values.
PIN,pin,"A PIN, or property index number (also called a permanent real estate index number), is a unique 14-digit number that represents a parcel of land for taxation purposes. PINs can be vacant land, have one card (building) on them, or multiple cards (buildings)."
card,card,An assessment term that describes a building or improvement on a property.
Tax year,tax_year,"For property tax purposes, the effective year for the property's valuation and assessment. Also referred to as the ""Assessment Year""."
Property characteristics,characteristics,These are the attributes of a home (such as a building's square footage and location). The CCAO uses dozens of characteristics in its model to capture important additive and subtractive components of real estate value.
"Open market, arm's-length transaction",open_market_transaction,"A sale between a willing buyer and a willing seller, who are are unrelated parties, each of whom is reasonably knowledgeable about market conditions and under no undue pressure to buy or sell."
Municipality,loc_property_municipality,"Municipality that has jurisdiction over this home, as derived from the parcel's legal description."
Lien date,lien_date,"Often synonymous with ""Appraisal Date"" or ""Valuation Date"", this is the date to which the estimated value of the property applies. A lien date is also the date on which an obligation, such as a property tax bill, attaches to a property."
Score,score,"How much a characteristic added to or subtracted from the home's value, relative to an average home in Cook County. More stars indicate a characteristic that more strongly differentiates this home from the average home."
Percent Population Under 19 Years Old in Census Tract,acs5_percent_age_children,Percent of people 19 years or younger in the home's census tract (ACS 5-year estimate).
Percent Population Over 65 Years Old in Census Tract,acs5_percent_age_senior,Percent of the people 65 years or older in the home's census tract (ACS 5-year estimate).
Median Population Age in Census Tract,acs5_median_age_total,Median age for the population in the home's census tract (ACS 5-year estimate).
Percent Households Family + Married in Census Tract,acs5_percent_household_family_married,Percent of households that are family and married in the home's census tract (ACS 5-year estimate).
Percent Households Nonfamily + Living Alone in Census Tract,acs5_percent_household_nonfamily_alone,"Percent of households that are non-family, alone (non-married), in the home's census tract (ACS 5-year estimate)."
Percent Population with High School Degree in Census Tract,acs5_percent_education_high_school,Percent of people older than 25 who attained a high school degree in the home's census tract (ACS 5-year estimate).
Percent Population with Bachelor's Degree in Census Tract,acs5_percent_education_bachelor,Percent of people older than 25 who attained a bachelor's degree in the home's census tract (ACS 5-year estimate).
Percent Population with Graduate Degree in Census Tract,acs5_percent_education_graduate,Percent of people older than 25 who attained a graduate degree in the home's census tract (ACS 5-year estimate).
